File,Component_,FileName,FileSize,Version,Language,Attributes,Sequence
surfaceinstalleula.rtf,surfaceinstalleula.rtf,m7iipnaa.rtf|surfaceinstalleula.rtf,23265,,,1538,1802
fil11F7955CD12BC94AE47EA69335947FA6,cmpA0F75245F73DDC41EA13EE77C8171B6B,ReadMe.txt,9725,,,512,116
filAF7C02B5B4CC6A5C3888EA666AF680A7,cmp3E00120F991508E09B5B241C372FE0F2,_odp-ehr.cat|DetectionVerificationDrv.cat,16217,,,512,1213
filF5749D269BA8FAA64DC79C68B1050F03,cmpE3C6992127D4547AD3BD8E186C5C2D12,aom7c4f4.dll|DetectionVerificationDrv.dll,188960,,,512,1728
fil62EBF8B04F8581BA7E56F2B5BB8FF4F4,cmp7CB56CC670BD1554F5A94FFC0258C149,vsbp11zg.inf|DetectionVerificationDrv.inf,7636,,,512,684
filCAFDC572C0749EAD4240CAB3C8378F6B,cmpF511721137F5DF882FFCAB95430116AC,ywopwbjq.sys|IntcAudioBus.sys,305208,10.24.0.7927,1033,512,1422
fil6BCC246FBD6602EE99DF92E92D4B4C9C,cmp405926B0BC8D994DFE09878E9101EB04,IntcBTAu.sys,723504,10.24.0.7927,1033,512,740
filDA4E7E295CC70AE04F5AADBA22649156,cmp85D33A0038CDD4EC62FB1B2CA1C79963,IntcDMic.sys,664632,10.24.0.7927,1033,512,1540
fil51977142A3C551061261D16D5D7FCEF4,cmp83A5B84007EDA5939C76EAE1C0EF3572,IntcOED.sys,1308728,10.24.0.7927,1033,512,565
filD0F8E3F1F417117985080617BE0F2616,cmp952B0EE76E5D55EA561C67112488CFD4,IntcSDW.sys,820280,10.24.0.7927,1033,512,1466
filAC85F2D445C659D991FDFDAA2F73F541,cmp03F9B12E628A4A941CF4D1A16FFAD502,IntcSST.sys,727608,10.24.0.7927,1033,512,1193
filAA1C756B27A355BE7EAB4FE96E578A78,cmp554B460898E3FFC9D6C33A489FA6AD8A,pgkoodjn.dll|IntelSSTPreprocStreamer.dll,52529208,2.0.0.200,1033,512,1174
fil4F2033C15D34B6395C6215F48A564DEC,cmp168C8B83F00C371A81E1324F2CD4E7F1,d8ti8mk6.dll|IntelWovSDK.dll,878120,1.14.647.10,1033,512,551
fil668ACF98ED56FA7EA8A09A2B48754AC3,cmpA8C38FDBF853822CF3716CCFF44D7000,mw-znxaz.dll|MultiChannelWoV.dll,1705528,1.14.647.10,1033,512,704
fil8434E6C9A831EC93E64E32A4653795DE,cmp7B92E2C0865356B2F508DD61610BF815,_loxhhg5.dll|MultichannelWoVCfg.dll,498744,1.14.647.10,1033,512,892
fil02921832FD99E1F85170A39511754F7C,cmpDF77C122324482EF84A031A18526A9F3,tze6ssxh.dll|IntelAudioDll_x64.dll,381992,1.0.2283.0,1033,512,22
filA61935FA996AA516CBEB543317298170,cmpE9836C186CF47658B47658C8AEEB5CFF,7r0ffpqh.dll|IntelMultiPaSetupDll.dll,134696,1.0.2283.0,1045,512,1133
fil3D57B785716E2A4944000A7CA289DE62,cmp48AC70E2D4B26F4F924558D40EB67522,yxq2hxv4.dll|ControlModule.dll,977448,1.0.2283.0,1045,512,421
fil86F12236F7E4C7A41AE9AD678C560076,cmp0856B54FB8976AFF52E062BEA0162205,tbwaud3r.exe|IntelAudioService.exe,402488,1.0.2283.0,0,512,911
fil86EE6892EF813A61FF2BEF74B865647A,cmp2A2337EECF28A4C3EA9F31C6FBF1B1CE,cdabqxrg.con|IntelAudioService.exe.config,160,,,512,910
fil5053BDFA78FC70A56BE82157B8FBDC70,cmp6FC01605C10BB6EF77A32FD940409B78,b7-0_hi1.dll|IntelSSTPreprocStreamer.dll,52529192,2.0.0.200,1033,512,554
filD65F77914129750FFD5D591DF19582BA,cmpAF90639931E551DDE9C8B7F4D9344E78,tj2dvpyo.dll|NativeApiAdapter.dll,110136,,,512,1508
filD21C3C45EF108283739CCAFF329D2FBA,cmp65DD246611021B2B08284BDC21900F91,mlxms2uq.dll|RpcServer.dll,141880,,,512,1475
fil3D324692DAEF0531796F3EB98D6742AC,cmpC87999B294C69998034B777FA664DFDE,heo0ugql.dll|WppLoggerDll.dll,426536,,,512,420
fil7D45F3AD39C11664472A5CA1A9ECFF2C,cmpBE7412AE4535BB234C6C064AE8F4E97E,scez1n0a.tf|aecs_asr_str_def_1ch_in.tf,2840,,,512,850
fil4A2834E66A23C4F5C37BECCF8FC3F308,cmpDDE9D4ADE7AB1C5499E2CD54A97EB796,ctmlfmc1.tf|aecs_asr_str_def_2ch_in.tf,2840,,,512,514
filFEA26AE6F113388C70089337A6CB2D85,cmpEA96F20B69CBF8F518C7337F923FD65F,yyupsw_a.tf|aecs_asr_str_def_3ch_in.tf,2840,,,512,1792
fil62673E638368C6183E6F2672BB2C4F9B,cmpB6B425DC200EE608DB7EACE90584B08A,o-khvq4o.tf|aecs_asr_str_def_4ch_in.tf,2840,,,512,679
fil2CF862B0C434D1299847F68D86D8EF6D,cmp3A3822FCF4001091CCEA36389E3C244C,ozv-ck6m.tf|aecs_wov_str_def_1ch_in.tf,1400,,,512,313
filF24E39E0D17F5ED198F36867AE92059F,cmpD6D85BF3BCB9F578CAC078B1E462B585,2x3wlu6w.tf|aecs_wov_str_def_2ch_in.tf,1400,,,512,1703
filFEB7E9589E8F584132AFCCD39D90ACAF,cmpDC780022C912AFA5DCB3C460400F0385,0tbe7uf-.tf|aecs_wov_str_def_3ch_in.tf,1400,,,512,1794
